Aerofoil,AR,TaperRatio,SparHeight,SparWidth,BatteryMass,MaxStress
RG15 (C),7,0.45,0,0,SPAR FAIL,SPAR FAIL
RG15 (C),10,0.25,0,0,SPAR FAIL,SPAR FAIL
RG15 (C),10,0.45,0,0,SPAR FAIL,SPAR FAIL
S6063,4,0.25,0,0,SPAR FAIL,SPAR FAIL
S6063,4,0.45,0,0,SPAR FAIL,SPAR FAIL
S6063,7,0.25,0,0,SPAR FAIL,SPAR FAIL
S6063,7,0.45,0,0,SPAR FAIL,SPAR FAIL
S6063,10,0.25,0,0,SPAR FAIL,SPAR FAIL
S6063,10,0.45,0,0,SPAR FAIL,SPAR FAIL
S7012 (B),4,0.25,0,0,SPAR FAIL,SPAR FAIL
S7012 (B),4,0.45,0.01,0.01,0.06264840838316388,7008009.356686389
S7012 (B),7,0.25,0,0,SPAR FAIL,SPAR FAIL
S7012 (B),7,0.45,0,0,SPAR FAIL,SPAR FAIL
S7012 (B),10,0.25,0,0,SPAR FAIL,SPAR FAIL
S7012 (B),10,0.45,0,0,SPAR FAIL,SPAR FAIL
S7075 (A),4,0.25,0,0,SPAR FAIL,SPAR FAIL
S7075 (A),4,0.45,0.01,0.01,0.06189524119563008,7008009.356686389
S7075 (A),7,0.25,0,0,SPAR FAIL,SPAR FAIL
S7075 (A),7,0.45,0,0,SPAR FAIL,SPAR FAIL
S7075 (A),10,0.25,0,0,SPAR FAIL,SPAR FAIL
S7075 (A),10,0.45,0,0,SPAR FAIL,SPAR FAIL
S7075 (B),4,0.25,0,0,SPAR FAIL,SPAR FAIL
S7075 (B),4,0.45,0.01,0.01,0.06298948125110215,7008009.356686389
S7075 (B),7,0.25,0,0,SPAR FAIL,SPAR FAIL
S7075 (B),7,0.45,0,0,SPAR FAIL,SPAR FAIL
S7075 (B),10,0.25,0,0,SPAR FAIL,SPAR FAIL
S7075 (B),10,0.45,0,0,SPAR FAIL,SPAR FAIL
SA7035,4,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7035,4,0.45,0.01,0.01,0.08893651153345683,7008009.356686389
SA7035,7,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7035,7,0.45,0,0,SPAR FAIL,SPAR FAIL
SA7035,10,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7035,10,0.45,0,0,SPAR FAIL,SPAR FAIL
SA7036 (A),4,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7036 (A),4,0.45,0.01,0.01,0.05965962632562746,7008009.356686389
SA7036 (A),7,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7036 (A),7,0.45,0,0,SPAR FAIL,SPAR FAIL
SA7036 (A),10,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7036 (A),10,0.45,0,0,SPAR FAIL,SPAR FAIL
SA7036 (B),4,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7036 (B),4,0.45,0.01,0.01,0.062413817124310995,7008009.356686389
SA7036 (B),7,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7036 (B),7,0.45,0,0,SPAR FAIL,SPAR FAIL
SA7036 (B),10,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7036 (B),10,0.45,0,0,SPAR FAIL,SPAR FAIL
SA7038,4,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7038,4,0.45,0.01,0.01,0.06476191878416682,7008009.356686389
SA7038,7,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7038,7,0.45,0,0,SPAR FAIL,SPAR FAIL
SA7038,10,0.25,0,0,SPAR FAIL,SPAR FAIL
SA7038,10,0.45,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),4,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),4,0.45,0.01,0.01,0.062322085975901234,7008009.356686389
SD7037(D),7,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),7,0.45,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),10,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),10,0.45,0,0,SPAR FAIL,SPAR FAIL
SD7037 ( E ),4,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037 ( E ),4,0.45,0.01,0.01,0.06242535262170943,7008009.356686389
SD7037 ( E ),7,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037 ( E ),7,0.45,0,0,SPAR FAIL,SPAR FAIL
SD7037 ( E ),10,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037 ( E ),10,0.45,0,0,SPAR FAIL,SPAR FAIL
